time,art,vol,pleth,paw,p4,debit
2004-09-15 08:12:33.000000000,405.6682674731025,,107.75997084952218,,,
2004-09-15 08:12:33.007812500,388.011472960638,,107.14184086982608,,,
2004-09-15 08:12:33.008854166,401.41537135064686,,107.60722028933245,,,
2004-09-15 08:12:33.015625000,402.94353725066054,,107.0333400463133,,,
2004-09-15 08:12:33.023437500,398.33858552217595,,107.47862648106084,,,
2004-09-15 08:12:33.025520833,414.374391579928,,105.1345270785736,,,
2004-09-15 08:12:33.031250000,427.7197824795081,,103.55416416240134,,,
2004-09-15 08:12:33.039062500,468.24410723925314,,102.19574894266414,,,
2004-09-15 08:12:33.042187500,463.3517120225849,,104.81344003324516,,,
2004-09-15 08:12:33.046875000,480.9286901027348,,101.87815826160288,,,
2004-09-15 08:12:33.054687500,509.3919522226141,,100.63956519313211,,,
2004-09-15 08:12:33.058854166,586.8305995599338,,101.86480535179946,,,
2004-09-15 08:12:33.062500000,614.1239790442374,,100.07842306828258,,,
2004-09-15 08:12:33.070312500,662.0977123422629,,100.45140729619324,,,
2004-09-15 08:12:33.075520833,680.1751716551873,,98.76191595407424,,,
2004-09-15 08:12:33.078125000,751.4605546521256,,99.96134432585556,,,
2004-09-15 08:12:33.085937500,760.7961912776053,,99.6040952804036,,,
2004-09-15 08:12:33.092187500,840.0385487955587,,99.64149002376374,,,
2004-09-15 08:12:33.093750000,880.8455743658342,,99.2036406919246,,,
2004-09-15 08:12:33.101562500,886.3603309757648,,98.5636282207528,,,
2004-09-15 08:12:33.108854166,895.2765749826532,,98.83018473277818,,,
2004-09-15 08:12:33.109375000,902.2655080073037,,99.43028473635056,,,
2004-09-15 08:12:33.117187500,972.588084530362,,98.29126660060544,,,
2004-09-15 08:12:33.125000000,951.3078149757443,,97.13717443099236,,,
2004-09-15 08:12:33.125520833,928.4765139731942,,99.03274966345778,,,
2004-09-15 08:12:33.132812500,956.5659121046089,,98.46250374794032,,,
2004-09-15 08:12:33.140625000,906.6783404920252,,97.65398751686143,,,
2004-09-15 08:12:33.142187500,885.0419322151766,,96.80548069974756,,,
2004-09-15 08:12:33.148437500,899.9812444123318,,98.51293312695026,,,
2004-09-15 08:12:33.156250000,894.9465051183328,,99.19712137064072,,,
